,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
69,0.12258942127227783,0.012765281286460583,0.012879014015197754,0.0014445483642115246,42,114,linear,89.79490765382691,"{'random_state': 42, 'n_estimators': 114, 'loss': 'linear', 'learning_rate': 89.79490765382691}",-0.8849930918425383,-0.7740048974737574,-0.2578708119622108,-1.5650198705044294,-1.531056916959211,-0.3874110959189839,-0.8025410865413473,-1.5894698253036987,-1.5130286314529156,-0.5003668151082206,-0.9805763043067313,0.49870971211569665,42
75,0.1312943696975708,0.018566763595177036,0.013187026977539063,0.001243106145505309,42,171,square,51.07558669334667,"{'random_state': 42, 'n_estimators': 171, 'loss': 'square', 'learning_rate': 51.07558669334667}",-1.504260448830232,-1.077085975780105,-0.5844103398689856,-0.24410351511808684,-1.1207406888565172,-1.2321534569693335,-0.747406396844352,-0.6081087960333675,-1.5130286314529156,-1.2065507348416367,-0.9837848984595532,0.3991745461055116,43
12,0.14923269748687745,0.025350327519665414,0.012611913681030273,0.0022074769046504,42,42,linear,48.97453826913457,"{'random_state': 42, 'n_estimators': 42, 'loss': 'linear', 'learning_rate': 48.97453826913457}",-1.089560393769514,-0.7796563520662108,-1.51292261148014,-0.7075582833993178,-1.3513808859250511,-1.1058547139337684,-1.125204312665791,-1.017369528087708,-0.7235820618814207,-0.47560622234667305,-0.9888695365555596,0.30099710240379896,44
51,0.11255409717559814,0.014280514698349175,0.012782454490661621,0.0037053197010084257,42,192,square,46.32321525762882,"{'random_state': 42, 'n_estimators': 192, 'loss': 'square', 'learning_rate': 46.32321525762882}",-1.504260448830232,-1.2989913368446915,-0.2578708119622108,-0.7367931293777326,-1.5620506175729547,-0.39250844217906145,-1.1294389951552741,-0.3975929316267081,-1.5130286314529156,-1.2065507348416367,-0.9999086079843418,0.4831319826406513,45
30,0.11499357223510742,0.01611877574222316,0.011684727668762208,0.0009652919708049048,42,105,square,52.2261608304152,"{'random_state': 42, 'n_estimators': 105, 'loss': 'square', 'learning_rate': 52.2261608304152}",-1.2846773382592742,-1.128934987667126,-0.6183523130521009,-0.9132539115970173,-1.1207406888565172,-1.2321534569693335,-0.747406396844352,-0.24975845883279937,-1.5130286314529156,-1.2065507348416367,-1.0014856918373072,0.35381127860727846,46
6,0.1611629009246826,0.034266939768551094,0.014740371704101562,0.0014314650186771178,42,32,linear,57.67888174087043,"{'random_state': 42, 'n_estimators': 32, 'loss': 'linear', 'learning_rate': 57.67888174087043}",-0.4925150200945077,-0.5104019905773937,-1.5533876487955685,-0.5271934142909379,-1.2739332073568073,-1.2546088260075796,-1.4455640342201848,-1.0537089386407827,-0.7610554180305737,-1.2065507348416367,-1.0078919232855974,0.38307219721986374,47
96,0.14190754890441895,0.02368627547196207,0.01113429069519043,0.0017610597969340003,42,187,square,49.674887743871935,"{'random_state': 42, 'n_estimators': 187, 'loss': 'square', 'learning_rate': 49.674887743871935}",-1.504260448830232,-1.077085975780105,-0.539046808014505,-0.8344854224022774,-1.1207406888565172,-1.2321534569693335,-0.747406396844352,-0.551623053266933,-1.5130286314529156,-0.9706414021795162,-1.0090472284596688,0.33115774266790265,48
35,0.14241087436676025,0.019150734243461923,0.01581735610961914,0.008808323839501704,42,166,linear,77.78891665832916,"{'random_state': 42, 'n_estimators': 166, 'loss': 'linear', 'learning_rate': 77.78891665832916}",-0.7254312311075478,-0.5096276456802146,-0.667403858950343,-1.5543054239530838,-1.5004151171535687,-1.2321534569693335,-0.5422923390002158,-1.5894698253036956,-1.2868976763229498,-0.5108398980996746,-1.0118836472540627,0.4376282574271601,49
78,0.23255813121795654,0.06241352139642314,0.018063735961914063,0.0060144592054450635,42,119,linear,70.13509739869934,"{'random_state': 42, 'n_estimators': 119, 'loss': 'linear', 'learning_rate': 70.13509739869934}",-0.5098043616182977,-0.55857813914152,-0.4700120856049632,-1.1098108694788034,-1.0715051358794254,-0.6921169544969419,-1.4455640342201848,-1.4401346968625544,-1.2868976763229498,-1.5867304539201825,-1.0171154407545822,0.40544728052431017,50
25,0.11705217361450196,0.014052988437142538,0.011388587951660156,0.0011287114953278225,42,94,square,68.88447333666834,"{'random_state': 42, 'n_estimators': 94, 'loss': 'square', 'learning_rate': 68.88447333666834}",-1.504260448830232,-1.195559718814895,-1.5655975145820726,-0.24410351511808684,-1.5620506175729547,-1.0842057388916795,-0.24887003063799526,-1.1254482219720503,-1.5130286314529156,-0.2391867205615182,-1.0282311158434398,0.5404435680554037,51
76,0.119227933883667,0.016795163302842968,0.012275958061218261,0.0014948059303609396,42,41,square,70.28517228614307,"{'random_state': 42, 'n_estimators': 41, 'loss': 'square', 'learning_rate': 70.28517228614307}",-1.504260448830232,-1.195559718814895,-1.5655975145820726,-0.24410351511808684,-1.5620506175729547,-1.0842057388916795,-0.24887003063799526,-1.1254482219720503,-1.5130286314529156,-0.2391867205615182,-1.0282311158434398,0.5404435680554037,51
98,0.1682344913482666,0.04387831415076134,0.01580839157104492,0.006396935557859605,42,129,square,69.18462311155578,"{'random_state': 42, 'n_estimators': 129, 'loss': 'square', 'learning_rate': 69.18462311155578}",-1.504260448830232,-1.195559718814895,-1.5655975145820726,-0.24410351511808684,-1.5620506175729547,-1.0842057388916795,-0.24887003063799526,-1.1254482219720503,-1.5130286314529156,-0.2391867205615182,-1.0282311158434398,0.5404435680554037,51
95,0.17923445701599122,0.050631869161505534,0.01722671985626221,0.008846444213556614,42,163,square,30.565352076038018,"{'random_state': 42, 'n_estimators': 163, 'loss': 'square', 'learning_rate': 30.565352076038018}",-0.527678061431856,-1.0548386258308395,-0.49543965513252536,-1.109581886111343,-1.2056589619465665,-1.2546088260075767,-0.747406396844352,-1.4401346968625544,-1.267202058808338,-1.2065507348416367,-1.0309099903817587,0.3101344601621465,54
53,0.10018284320831299,0.01706626608069655,0.01086575984954834,0.0010028013774655534,42,187,square,74.48726913456728,"{'random_state': 42, 'n_estimators': 187, 'loss': 'square', 'learning_rate': 74.48726913456728}",-1.504260448830232,-0.7266792321737773,-1.5655975145820726,-1.5666842169569903,-1.5620506175729547,-1.2321534569693335,-0.24887003063799526,-0.24975845883279937,-1.5130286314529156,-0.2391867205615182,-1.0408269328570587,0.5737800934406886,55
28,0.1404900312423706,0.03153035274049075,0.01183168888092041,0.003977278047539736,42,110,linear,60.13010490245122,"{'random_state': 42, 'n_estimators': 110, 'loss': 'linear', 'learning_rate': 60.13010490245122}",-1.580027380017523,-0.5020685932606759,-1.5636810310517517,-0.46403986777021133,-0.5724196899126787,-0.978012382197575,-1.4455640342201848,-1.4922915727837045,-0.649018013312524,-1.2065507348416367,-1.0453673299368467,0.4425848289782275,56
21,0.10416233539581299,0.017923790678073183,0.01077723503112793,0.0007382123167548637,42,180,square,60.43025467733867,"{'random_state': 42, 'n_estimators': 180, 'loss': 'square', 'learning_rate': 60.43025467733867}",-1.504260448830232,-1.195559718814895,-0.8390691676839822,-0.24410351511808684,-1.5620506175729547,-1.2321534569693335,-0.24887003063799526,-0.9252057981272289,-1.5130286314529156,-1.2065507348416367,-1.047085212004926,0.459682321955856,57
4,0.8084694862365722,0.06553686624242715,0.036606454849243165,0.004018331970460606,42,49,square,3.2016975987993996,"{'random_state': 42, 'n_estimators': 49, 'loss': 'square', 'learning_rate': 3.2016975987993996}",-0.9854076392327239,-0.7628469692801957,-1.3442406004161453,-1.175831263660592,-1.3175446221819322,-0.3881717765724506,-1.5227372557979595,-0.9113737732552236,-1.250903461167961,-0.9071052337663539,-1.0566162595331539,0.31649295504599895,58
59,0.12180464267730713,0.02876831289382241,0.011669778823852539,0.0014957159534785096,42,181,exponential,54.52730910455227,"{'random_state': 42, 'n_estimators': 181, 'loss': 'exponential', 'learning_rate': 54.52730910455227}",-0.9542149427633094,-1.1035748502822222,-0.4267967203945111,-1.5666842169569903,-0.8873048542664386,-1.2420688509630764,-0.7597567072011031,-0.5592620443268322,-1.536828062719146,-1.5879619156912057,-1.0624453165564836,0.39757650081308615,59
32,0.11224193572998047,0.010485030545026228,0.01100006103515625,0.0011400065234287418,42,96,square,80.24013981990996,"{'random_state': 42, 'n_estimators': 96, 'loss': 'square', 'learning_rate': 80.24013981990996}",-1.504260448830232,-1.195559718814895,-1.5655975145820726,-1.5666842169569903,-1.1195107519089094,-1.2321534569693335,-0.747406396844352,-0.24975845883279937,-1.217366099376387,-0.2391867205615182,-1.0637483783677488,0.47051503800225164,60
83,0.20558712482452393,0.05172780024519504,0.017098045349121092,0.004838584746861796,42,160,linear,99.74987518759379,"{'random_state': 42, 'n_estimators': 160, 'loss': 'linear', 'learning_rate': 99.74987518759379}",-1.504260448830232,-1.1150400949548553,-1.5420193730057135,-0.5721968088795337,-1.5620506175729547,-1.2321534569693335,-0.747406396844352,-0.39747681262978296,-1.5130286314529156,-0.621084934131085,-1.080671757527076,0.433894332519652,61
