,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
25,1.3660540342330934,0.21105133267767362,0.1129753589630127,0.03823857556397917,rbf,0.0031259629814907454,0.03510305152576288,8,"{'kernel': 'rbf', 'gamma': 0.0031259629814907454, 'epsilon': 0.03510305152576288, 'C': 8}",-0.11271324488155947,-0.09323029606951609,-0.10289611942670979,-0.13052366960923353,-0.14120144045252042,-0.09893078480047389,-0.1251317234589682,-0.10029327559023335,-0.09714659328357592,-0.13216524316219516,-0.11342323907349858,0.016488905898503905,27
66,1.5357726097106934,0.11192534839750923,0.13259119987487794,0.03112349448004533,rbf,0.003507303651825913,0.01686143071535768,7,"{'kernel': 'rbf', 'gamma': 0.003507303651825913, 'epsilon': 0.01686143071535768, 'C': 7}",-0.11167090514648333,-0.09130626812228801,-0.10445459916729614,-0.1324822190743234,-0.14076465642388125,-0.09881757455510912,-0.12516369353553516,-0.101272138268123,-0.0963386646425682,-0.13352558649034044,-0.11357963054259482,0.016964730565010095,28
38,1.599719023704529,0.16170087126622923,0.11965658664703369,0.027633632885796695,rbf,0.0032250125062531264,0.017095547773886943,10,"{'kernel': 'rbf', 'gamma': 0.0032250125062531264, 'epsilon': 0.017095547773886943, 'C': 10}",-0.11133818706566363,-0.09268191524296054,-0.10625983473176913,-0.1325780349249812,-0.1421801872404578,-0.10028956239993608,-0.12636338456075336,-0.10320902691965973,-0.09691060669118182,-0.13385611202739672,-0.114566685180476,0.01673648165935593,29
63,1.9238520383834838,0.1358886543190099,0.12868959903717042,0.026818427782744632,rbf,0.0029872936468234115,0.0018779389694847423,10,"{'kernel': 'rbf', 'gamma': 0.0029872936468234115, 'epsilon': 0.0018779389694847423, 'C': 10}",-0.11226781577940773,-0.09160669005861319,-0.10596974229826711,-0.13406211976738522,-0.1432030599152174,-0.09994084282746785,-0.12451193712968185,-0.10342795592083466,-0.09641320735840092,-0.13559302088848957,-0.11469963919437656,0.017363297221877075,30
40,1.523764157295227,0.06844956952975426,0.1294994592666626,0.018554485763849042,rbf,0.004651325662831416,0.013603301650825413,6,"{'kernel': 'rbf', 'gamma': 0.004651325662831416, 'epsilon': 0.013603301650825413, 'C': 6}",-0.11268920160285834,-0.09435307813374175,-0.1066902915528306,-0.13560204483986327,-0.1423278216516727,-0.10063947841845589,-0.12763955188379342,-0.10400960934129794,-0.09859206557807962,-0.13596090340316228,-0.11585040464057558,0.016911711787283783,31
71,1.667124366760254,0.10218760973691463,0.13073172569274902,0.024980068950482673,rbf,0.004037218609304653,0.011028014007003501,8,"{'kernel': 'rbf', 'gamma': 0.004037218609304653, 'epsilon': 0.011028014007003501, 'C': 8}",-0.11267369088133208,-0.09405269084911207,-0.10718177504667105,-0.13534995929961083,-0.14335421722960778,-0.1012037768031719,-0.1277459211166576,-0.105040976815808,-0.09830437689057182,-0.1358669654959624,-0.11607743504285055,0.01696452308229469,32
72,1.1258358716964723,0.0753591127431328,0.10329718589782715,0.024399392318995163,rbf,0.0050871435717858935,0.037444222111055525,5,"{'kernel': 'rbf', 'gamma': 0.0050871435717858935, 'epsilon': 0.037444222111055525, 'C': 5}",-0.11446385870817039,-0.09835777050524995,-0.10384769263038836,-0.1343571876924545,-0.14329189206823204,-0.09987728712931894,-0.12781221369344384,-0.10255799970673869,-0.10146366542370676,-0.13500945368541084,-0.1161039021243114,0.016418996038159085,33
61,1.1034586906433106,0.05362591894794694,0.11464838981628418,0.0158039735903777,rbf,0.005126763381690846,0.03578589294647323,5,"{'kernel': 'rbf', 'gamma': 0.005126763381690846, 'epsilon': 0.03578589294647323, 'C': 5}",-0.11422825646285194,-0.09818771444052427,-0.10407045977377484,-0.13452758972568302,-0.1431678792829639,-0.09991391722135409,-0.1279141254902174,-0.10258281691527092,-0.10134407127404264,-0.1351896905679618,-0.11611265211546447,0.016455207628621116,34
31,1.752330493927002,0.07752313363510573,0.1262050151824951,0.020421912693733467,rbf,0.003977788894447224,0.006345672836418209,8,"{'kernel': 'rbf', 'gamma': 0.003977788894447224, 'epsilon': 0.006345672836418209, 'C': 8}",-0.11263629145840573,-0.0937048660551767,-0.10706763340119214,-0.13572098541790323,-0.14375665657185258,-0.10128482289035619,-0.1271546485568388,-0.10525615584050094,-0.09803842097433585,-0.1366541173349582,-0.11612745985015205,0.017184193867308958,35
51,1.3696170330047608,0.052731763751408575,0.13541908264160157,0.015589244308807862,rbf,0.0053149574787393706,0.021719359679839918,5,"{'kernel': 'rbf', 'gamma': 0.0053149574787393706, 'epsilon': 0.021719359679839918, 'C': 5}",-0.11313563860216555,-0.09643110542335472,-0.10618172011008489,-0.13580967196120713,-0.1423424458617447,-0.10022982830863045,-0.12872329848487465,-0.10319168621769742,-0.1001249157950003,-0.13587147905953526,-0.11620417898242949,0.01671826249277325,36
42,1.5845321655273437,0.09044103960677381,0.14039993286132812,0.019896965075470577,rbf,0.005300100050025013,0.010598799399699849,5,"{'kernel': 'rbf', 'gamma': 0.005300100050025013, 'epsilon': 0.010598799399699849, 'C': 5}",-0.11331158361722175,-0.09483186264524535,-0.1069352434895891,-0.13693039326518688,-0.14255453957388273,-0.1007304871983107,-0.12802914978718924,-0.10452605144656349,-0.09920222967712132,-0.13718279829057026,-0.11642343389908807,0.0170859749394261,37
41,1.5540760993957519,0.11268127326318535,0.13730742931365966,0.02222762174765562,rbf,0.005374387193596799,0.012198599299649823,5,"{'kernel': 'rbf', 'gamma': 0.005374387193596799, 'epsilon': 0.012198599299649823, 'C': 5}",-0.11340741431226159,-0.09534481296732267,-0.10702821330239287,-0.1369897097995555,-0.14267354569356586,-0.1008401214696237,-0.12837006228203562,-0.1044652177261711,-0.09946871860744544,-0.1370561765859879,-0.11656439927463622,0.01701543151758626,38
43,1.2857391119003296,0.04971477596846458,0.1280965805053711,0.01552688427725972,rbf,0.005012856428214108,0.02595297648824412,6,"{'kernel': 'rbf', 'gamma': 0.005012856428214108, 'epsilon': 0.02595297648824412, 'C': 6}",-0.1133487530909039,-0.09758448218672423,-0.10639840473997582,-0.13539482002083877,-0.14317562022052663,-0.10047957521285017,-0.1292021008437435,-0.10363101920277912,-0.10104846129158426,-0.1353942711030654,-0.11656575079129919,0.016485389519408613,39
73,1.2040650129318238,0.0612556190440207,0.12564451694488527,0.019632600471546257,rbf,0.00557743871935968,0.032196098049024506,5,"{'kernel': 'rbf', 'gamma': 0.00557743871935968, 'epsilon': 0.032196098049024506, 'C': 5}",-0.11408240935805478,-0.09919678879365973,-0.1052946003652915,-0.13565148898255688,-0.14366159482471288,-0.10012433612760104,-0.1291377552283742,-0.1033389215681207,-0.102393559114531,-0.13584564805970073,-0.11687271024226036,0.016456866230330672,40
17,1.9435177803039552,0.16606340004536385,0.1507575750350952,0.0389909471729273,rbf,0.004225412706353177,0.0017218609304652326,8,"{'kernel': 'rbf', 'gamma': 0.004225412706353177, 'epsilon': 0.0017218609304652326, 'C': 8}",-0.11363362329131536,-0.09494277303289363,-0.10831535421366208,-0.13699423561168766,-0.14493772279406014,-0.10204872633074463,-0.12805657853207683,-0.10652328281242959,-0.09880758479118373,-0.13813694612561858,-0.11723968275356722,0.0172808354522916,41
39,1.401979184150696,0.05853132812311156,0.11480870246887206,0.02303278458782745,rbf,0.0041857928964482245,0.02339719859929965,10,"{'kernel': 'rbf', 'gamma': 0.0041857928964482245, 'epsilon': 0.02339719859929965, 'C': 10}",-0.11358397288327961,-0.09863729176469252,-0.10872938836839766,-0.135289648818812,-0.14552631469239616,-0.10171936138926707,-0.130538867052091,-0.10553070427743902,-0.10142526491097874,-0.13485794724006162,-0.11758387613974156,0.016346058597218705,42
34,1.383982276916504,0.13389786224179667,0.12743656635284423,0.026040631915331663,rbf,0.00594887443721861,0.02107553776888444,5,"{'kernel': 'rbf', 'gamma': 0.00594887443721861, 'epsilon': 0.02107553776888444, 'C': 5}",-0.11396389811289184,-0.09881153139736958,-0.10760260078341223,-0.1372448299739167,-0.143853800207971,-0.10100137856836694,-0.13015267767068373,-0.10449011141608058,-0.10200503848629396,-0.13716154263101643,-0.11762874092480032,0.016649801180958403,43
59,1.547112512588501,0.08063169357282861,0.14427447319030762,0.01636917939449427,rbf,0.0058745872936468236,0.00999399699849925,5,"{'kernel': 'rbf', 'gamma': 0.0058745872936468236, 'epsilon': 0.00999399699849925, 'C': 5}",-0.11433200013908447,-0.09714314953984576,-0.10832208499752789,-0.13828652001473768,-0.14394536250343115,-0.1016650661483603,-0.1298369934459909,-0.10569445252087416,-0.1006892164341696,-0.1383214511014954,-0.1178236296845517,0.017022084821858536,44
95,1.2376586675643921,0.07922249445182739,0.11692936420440674,0.018406475316788202,rbf,0.00494847423711856,0.03237168584292146,8,"{'kernel': 'rbf', 'gamma': 0.00494847423711856, 'epsilon': 0.03237168584292146, 'C': 8}",-0.11430039009927782,-0.10107191800544164,-0.10718229223112503,-0.13519220586322434,-0.14616430078370837,-0.10108908699684588,-0.1304315278287744,-0.10515813482268639,-0.10286452708865211,-0.13501726013556062,-0.11784716438552964,0.016217093190194695,45
46,1.345625925064087,0.122374731222664,0.12572901248931884,0.02391265981527416,rbf,0.005245622811405703,0.025114057028514256,7,"{'kernel': 'rbf', 'gamma': 0.005245622811405703, 'epsilon': 0.025114057028514256, 'C': 7}",-0.1139565081628045,-0.09984595973921677,-0.10817544278096129,-0.13636355910398043,-0.14532579594869796,-0.10120269964311847,-0.13053380032727252,-0.10513210290845798,-0.10277572259692754,-0.13597515578036415,-0.11792867469918016,0.016389089529450583,46
94,1.119444155693054,0.07605373099536392,0.11059389114379883,0.03348384587386406,rbf,0.0053991495747873946,0.037775887943971985,7,"{'kernel': 'rbf', 'gamma': 0.0053991495747873946, 'epsilon': 0.037775887943971985, 'C': 7}",-0.11528608506662306,-0.10236333980980296,-0.10632999502886555,-0.13582114021857553,-0.14659316829929753,-0.10060542612901888,-0.13033192365503898,-0.10495674480096637,-0.10332452718836307,-0.1355989681032338,-0.11812113182997859,0.016349135460301648,47
2,1.5196815729141235,0.13711288182652942,0.11672356128692626,0.01732595669870782,rbf,0.004968284142071036,0.021660830415207603,8,"{'kernel': 'rbf', 'gamma': 0.004968284142071036, 'epsilon': 0.021660830415207603, 'C': 8}",-0.11398715863150201,-0.09960782082170741,-0.10912781595650227,-0.1364923515913928,-0.14591973165447067,-0.10181659546876388,-0.13098886051086353,-0.10581748430873933,-0.10238290014057015,-0.13607039594716033,-0.11822111150316723,0.01644244557969563,48
35,1.2649657487869264,0.09852857781786614,0.10907962322235107,0.01883158054224791,rbf,0.004785042521260631,0.03559079539769885,10,"{'kernel': 'rbf', 'gamma': 0.004785042521260631, 'epsilon': 0.03559079539769885, 'C': 10}",-0.11555060210554702,-0.10278268446874578,-0.10750895720494764,-0.1356778630794457,-0.14788645118963803,-0.10153064286180154,-0.13124526575226736,-0.10595093204704542,-0.10269543722525562,-0.13476233818989744,-0.11855911741245914,0.016301139092575818,49
92,1.8291791677474976,0.14387487227988915,0.13543274402618408,0.03802115442588169,rbf,0.004700850425212607,0.0020925462731365683,8,"{'kernel': 'rbf', 'gamma': 0.004700850425212607, 'epsilon': 0.0020925462731365683, 'C': 8}",-0.11455326974100045,-0.09721145050270566,-0.10986289499602822,-0.13835444838382868,-0.14613444777607845,-0.10314218967629442,-0.12998644060298079,-0.10812886035660649,-0.10025635599180026,-0.1389948022959478,-0.11866251603232711,0.01711492031301455,50
62,1.2986214876174926,0.07020552411803979,0.1191650390625,0.010632250789966586,rbf,0.005389244622311156,0.02825512756378189,8,"{'kernel': 'rbf', 'gamma': 0.005389244622311156, 'epsilon': 0.02825512756378189, 'C': 8}",-0.11467433068749966,-0.10172525247545408,-0.10848237108066415,-0.13658575997586744,-0.14712498303734162,-0.10176706146676218,-0.1312814695455969,-0.10601837354138881,-0.10314933328750167,-0.13597610496470106,-0.11867850400627775,0.016379108426182683,51
79,1.6387948989868164,0.07499673497170538,0.13800580501556398,0.02142784147805848,rbf,0.0051960980490245124,0.005506753376688344,7,"{'kernel': 'rbf', 'gamma': 0.0051960980490245124, 'epsilon': 0.005506753376688344, 'C': 7}",-0.11463292399565941,-0.09789668656800893,-0.10977342456194843,-0.13848493419837188,-0.14578621860975105,-0.10301518589341585,-0.13054028709331172,-0.1077760159018429,-0.10086831980185036,-0.1389378568772588,-0.11877118535014193,0.016991579628023928,52
