,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
80,2.7476627588272096,0.18112591552981974,0.23945648670196534,0.059144030787147195,42,86,3,2,80,"{'random_state': 42, 'n_estimators': 86, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 80}",-0.14344349325753994,-0.13261200281381944,-0.14472501966696108,-0.17422136355764492,-0.17087384914704423,-0.11485255048957259,-0.14255559528256936,-0.1278228696853128,-0.14866074969083462,-0.14135060876116612,-0.1441118102352465,0.017052955538395,11
71,3.0725009202957154,0.32749494368433313,0.20458297729492186,0.11436223169784393,42,92,8,1,123,"{'random_state': 42, 'n_estimators': 92, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_depth': 123}",-0.1423380322820759,-0.13292802359744052,-0.14181595803566122,-0.17615558301261394,-0.1722696699553763,-0.11429951189153541,-0.14460187401685298,-0.1275539586583545,-0.14785845228566458,-0.14169248071734927,-0.14415135444529245,0.017709357230986784,12
81,2.328719401359558,0.17794285251228406,0.24456477165222168,0.0942408871445301,42,72,5,1,138,"{'random_state': 42, 'n_estimators': 72, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 138}",-0.14116435345981207,-0.13355392495566845,-0.14279528888556356,-0.17626059895016083,-0.17283728080481053,-0.11701515461934993,-0.1412855812168629,-0.1276490351164238,-0.14787933888302962,-0.14141155857417279,-0.14418521154658545,0.0173644982105063,13
85,2.33717827796936,0.1718430334779581,0.2226323366165161,0.0768030939507223,42,74,7,1,102,"{'random_state': 42, 'n_estimators': 74, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 102}",-0.14122565473321855,-0.13371464973160355,-0.142268951196898,-0.17599759067719742,-0.17299787562537694,-0.11520307745700718,-0.14326224975167118,-0.1285111155920756,-0.147987768868856,-0.14148269619475623,-0.14426516298286604,0.01752841441829382,14
77,2.0841963291168213,0.23892440664456285,0.2318180561065674,0.04293331720291301,42,70,9,1,150,"{'random_state': 42, 'n_estimators': 70, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_depth': 150}",-0.14265464099430133,-0.13345625988585585,-0.14331308759925912,-0.17413322692803776,-0.17160564079498267,-0.11602987782195942,-0.1433794872857177,-0.12791421561691724,-0.14885798171537964,-0.14234208494660716,-0.1443686503589018,0.016881913196067345,15
52,3.5891490936279298,0.4813455195269148,0.20668406486511232,0.09037661691617138,42,105,9,1,73,"{'random_state': 42, 'n_estimators': 105, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_depth': 73}",-0.14245782439849042,-0.13227272343353236,-0.14283173269928506,-0.17542560507506805,-0.17324246646038755,-0.11412516110528988,-0.14657566154921428,-0.12783640354962444,-0.14793303473879024,-0.1419738448630854,-0.14446744578727677,0.01778132042798226,16
79,2.6131640911102294,0.2932078666279761,0.21264829635620117,0.08411040275965996,42,84,6,2,111,"{'random_state': 42, 'n_estimators': 84, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_depth': 111}",-0.14351908367309246,-0.13303215797809947,-0.14427666682324666,-0.17438510711392927,-0.17074264002229522,-0.11646843288201786,-0.1438730389414515,-0.128501100027442,-0.14849009145121864,-0.14167926037397233,-0.14449675792867653,0.016674301154908273,17
35,2.5626638412475584,0.28131708403297195,0.18071339130401612,0.09635724876840748,42,76,5,2,80,"{'random_state': 42, 'n_estimators': 76, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 80}",-0.1422889222708701,-0.13358375098686703,-0.1435006837821108,-0.17412679535823894,-0.17115147904027012,-0.11671790459559395,-0.1430027780285283,-0.1293802639393724,-0.15013736357540758,-0.1411835440894997,-0.14450734856667588,0.016608947749586562,18
16,2.0201630353927613,0.1913110181041776,0.2361729621887207,0.08242323307374877,42,70,11,1,105,"{'random_state': 42, 'n_estimators': 70, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 105}",-0.1417234019999158,-0.1326778070726882,-0.1436331948272359,-0.17449694717429026,-0.17483632399235405,-0.11593207962089404,-0.14377587189830499,-0.12844611604374107,-0.1488645855684276,-0.1412663243605703,-0.1445652652558422,0.01752762329177295,19
11,2.317462682723999,0.1914616250453812,0.1579599618911743,0.07081192123603791,42,75,11,1,150,"{'random_state': 42, 'n_estimators': 75, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 150}",-0.141428156985108,-0.13361498713417316,-0.14313186387479077,-0.17507459289885677,-0.17445134347406877,-0.11623132398223486,-0.14393070010822076,-0.12835045155918873,-0.14868309049508935,-0.14093685495218414,-0.14458333654639152,0.01747013190509854,20
63,2.334343695640564,0.21528272630039033,0.20217831134796144,0.11652616041820461,42,81,7,2,64,"{'random_state': 42, 'n_estimators': 81, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 64}",-0.14238467620139508,-0.13458394536741577,-0.1436236318676742,-0.17518354904648573,-0.17064679599635688,-0.11642745147591906,-0.14311388522911278,-0.12917036126821463,-0.14996359147746047,-0.14116276990096938,-0.1446260657831004,0.016716823883464425,21
60,2.99074239730835,0.17236640864190692,0.21549692153930664,0.06070312304657409,42,105,11,1,64,"{'random_state': 42, 'n_estimators': 105, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 64}",-0.14238717366793086,-0.13222382239185804,-0.1432037312189303,-0.17571412829287827,-0.175579756335173,-0.11492703426903485,-0.14543803749311912,-0.12817561321807874,-0.1477621092976031,-0.14149550040629183,-0.14469069065908982,0.018050907205288767,22
48,3.114405632019043,0.07181112372836974,0.17883050441741943,0.060398019338143864,42,101,8,2,141,"{'random_state': 42, 'n_estimators': 101, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 141}",-0.1428018896342596,-0.13238136251358085,-0.14417129738856255,-0.17596990582929617,-0.17149120643488097,-0.11467724970978624,-0.14542282861963274,-0.12931844608929882,-0.1491128485090453,-0.14234650079709055,-0.1447693535525434,0.0173627510491921,23
69,2.299635982513428,0.17207989576944438,0.27379820346832273,0.06066509587287616,42,73,9,2,60,"{'random_state': 42, 'n_estimators': 73, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 60}",-0.1419191298306918,-0.13292659970917445,-0.1439444507209923,-0.1739693596135929,-0.17247194019007728,-0.11726055198397631,-0.14382809698820645,-0.129739491260352,-0.14987848533655818,-0.14208244093533662,-0.14480205465689583,0.016691188215563785,24
47,2.9263838052749636,0.21487263751302682,0.1706538200378418,0.062030052453913714,42,98,11,1,91,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 91}",-0.14313983105523626,-0.13249487801742593,-0.14227902588279126,-0.1758807971991505,-0.17532846360224588,-0.11564667936939983,-0.14538255021284371,-0.12801281541379506,-0.14842238900925744,-0.1416339952126233,-0.14482214249747694,0.017926895892199826,25
91,3.13151478767395,0.4042159596939425,0.23167848587036133,0.10605177502534138,42,96,11,1,145,"{'random_state': 42, 'n_estimators': 96, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 145}",-0.14316105474284493,-0.13266357140149992,-0.14226980256361033,-0.17591422801888087,-0.17538366824933851,-0.1155129623130231,-0.1454024179968823,-0.127820148183376,-0.14844970641084318,-0.14181062624988122,-0.14483881861301803,0.017967992051528815,26
21,2.9457472801208495,0.20910571257589708,0.23537857532501222,0.06946140815297809,42,100,8,2,138,"{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 138}",-0.1431356377818885,-0.13246600483120885,-0.14420824449975286,-0.17610177128175697,-0.17151710213250637,-0.1150550198559756,-0.14533550109066737,-0.1291290719204735,-0.1494282917659177,-0.14223005083862175,-0.14486066959987698,0.017342057698388497,27
