,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
80,18.485641741752623,0.9194414632235414,0.027646636962890624,0.004746940545659272,0.19867943971985993,42,750,2,2,56,0.1341536268134067,"{'subsample': 0.19867943971985993, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 56, 'learning_rate': 0.1341536268134067}",-0.13518619348530223,-0.13311553070605522,-0.1271294601729358,-0.1497300925472714,-0.17412908066807622,-0.1332076199276523,-0.14280739955403512,-0.12316431524584442,-0.13885698280309686,-0.15520816004179627,-0.14125348351520656,0.014317922005904593,14
40,21.219246006011964,0.8166182876424344,0.023829030990600585,0.002390433065467552,0.2502000500250125,42,625,2,2,57,0.15366143071535768,"{'subsample': 0.2502000500250125, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 57, 'learning_rate': 0.15366143071535768}",-0.1502117648241292,-0.13021783447521118,-0.12733805139627305,-0.1536424229712653,-0.16455116761688446,-0.1361558112729109,-0.14129663131304895,-0.12643150767214315,-0.13531341033559505,-0.14763755070017823,-0.14127961525776395,0.011889728998527346,15
79,86.48568682670593,6.380550103790749,0.047750234603881836,0.0024986399379955137,0.7358943471735868,42,1000,3,1,48,0.23719484742371186,"{'subsample': 0.7358943471735868, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 48, 'learning_rate': 0.23719484742371186}",-0.14045893669126816,-0.14308718631115702,-0.1453442370421055,-0.1445908376568704,-0.17648002774849716,-0.11817662847631862,-0.128210639706408,-0.13422323285370177,-0.13324031851308266,-0.15217216087974778,-0.1415984205879157,0.014856296095174838,16
89,48.08948249816895,3.5050880560857394,0.025066184997558593,0.001765526652027354,0.4957982991495748,42,500,5,2,58,0.2261904452226113,"{'subsample': 0.4957982991495748, 'random_state': 42, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 58, 'learning_rate': 0.2261904452226113}",-0.14047057003717628,-0.13914907047429736,-0.145768646546848,-0.15578307311109066,-0.1678181047354224,-0.11493642291749277,-0.14201953637480116,-0.1332874846277888,-0.12949329405508253,-0.14931504592433664,-0.14180412488043367,0.013780808098970797,17
43,144.79135916233062,20.360226686699946,0.05251109600067139,0.013812990352128206,0.7013805402701351,42,1000,7,1,62,0.320728264132066,"{'subsample': 0.7013805402701351, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 62, 'learning_rate': 0.320728264132066}",-0.13693663118898852,-0.1463775080150307,-0.14906581703063956,-0.1497482058541302,-0.161203883276173,-0.1199126230936547,-0.14406676097684692,-0.1304432926212578,-0.13082747730101754,-0.15031028176409705,-0.14188924811218362,0.011588763820697066,18
15,89.21412167549133,4.635033513869104,0.03425478935241699,0.0033642381340425074,0.7158863431715858,42,625,7,3,65,0.3237294647323662,"{'subsample': 0.7158863431715858, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 65, 'learning_rate': 0.3237294647323662}",-0.13891707229644776,-0.14202692128027397,-0.1523724954254947,-0.15392365822374152,-0.17206390702118418,-0.12322711476820052,-0.1322116230152495,-0.13526860431379623,-0.14914571594592801,-0.1436279192432521,-0.14427850315335686,0.012878069743550841,19
30,77.03959589004516,3.761175741634345,0.03739449977874756,0.011198731748165228,0.7478991495747874,42,625,5,1,52,0.30872346173086546,"{'subsample': 0.7478991495747874, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 52, 'learning_rate': 0.30872346173086546}",-0.14632442999087092,-0.13931282117149116,-0.15110057231834145,-0.15954228321823494,-0.1715327126112807,-0.11709844901412271,-0.13685330050733124,-0.126572520094775,-0.14440659074461545,-0.15160628099097015,-0.14443499606620339,0.01487285448215791,20
61,116.2092413187027,4.906715051789794,0.04321315288543701,0.01597931969592057,0.7659063531765883,42,750,4,3,56,0.34073626813406704,"{'subsample': 0.7659063531765883, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 56, 'learning_rate': 0.34073626813406704}",-0.15882602188097172,-0.13573407670534943,-0.1509375940478376,-0.16190948210982098,-0.17272082144742465,-0.12212470847626783,-0.1292135377162068,-0.14571597211090118,-0.1336284825533661,-0.15338346206526374,-0.146419415911341,0.015228578939995711,21
66,47.10875506401062,1.452592120652601,0.028593230247497558,0.008213736699469294,0.5433173086543271,42,500,7,3,59,0.2887154577288644,"{'subsample': 0.5433173086543271, 'random_state': 42, 'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 59, 'learning_rate': 0.2887154577288644}",-0.14470220781114634,-0.15628172978467825,-0.1500842479768441,-0.16237747442233266,-0.16344847907167273,-0.12666659867896204,-0.14425520120118435,-0.13819504208134137,-0.1412605009479654,-0.14853941945877477,-0.14758109014349022,0.010669608912560108,22
44,73.18028631210328,4.002269603629117,0.05510811805725098,0.014199824931926841,0.5173069034517259,42,1000,2,1,58,0.25670265132566283,"{'subsample': 0.5173069034517259, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 58, 'learning_rate': 0.25670265132566283}",-0.15074476834662823,-0.13825676557408215,-0.1531879910817279,-0.15567940231873845,-0.18611797224293467,-0.12901009701578633,-0.1454049731679059,-0.14310775630098374,-0.12753053823038588,-0.15684116876805315,-0.14858814330472264,0.015894411856306623,23
