,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
64,0.3709364891052246,0.038493483007699766,0.01427454948425293,0.0017207844613281891,42,0.4217893946973486,0.0004596848424212106,"{'random_state': 42, 'l1_ratio': 0.4217893946973486, 'alpha': 0.0004596848424212106}",-0.11331396482765292,-0.09249782308797377,-0.10411152506806112,-0.11788992560347251,-0.14048467786339636,-0.09312801433047742,-0.1153924710894901,-0.09229886471441841,-0.09049612683659995,-0.12204657573657879,-0.10816599691581215,0.01569237848298109,31
17,0.38710336685180663,0.06988335904547159,0.020595955848693847,0.00861395748247294,42,0.4042981490745372,0.0004725612806403202,"{'random_state': 42, 'l1_ratio': 0.4042981490745372, 'alpha': 0.0004725612806403202}",-0.11336725015292354,-0.09251555160384532,-0.1041323237856167,-0.1179440595139439,-0.14047861921954372,-0.09315225019482413,-0.11541281545736637,-0.09233112581322617,-0.09047655798185651,-0.12204252167610856,-0.10818530753992547,0.01569113964493406,32
50,0.3651315212249756,0.08993877958117556,0.024163341522216795,0.012768312544450877,42,0.22938569284642318,0.0007900150075037519,"{'random_state': 42, 'l1_ratio': 0.22938569284642318, 'alpha': 0.0007900150075037519}",-0.1134753772261246,-0.09245761260555885,-0.10392220352238264,-0.1182106380462377,-0.14028784637080777,-0.09340748515800167,-0.11539252083791211,-0.09241154737988065,-0.09057686160638406,-0.12171151298662745,-0.10818536057399175,0.01561010762826615,33
29,0.40022552013397217,0.09206614650712654,0.021499109268188477,0.01018786975690118,42,0.1814097048524262,0.000916303151575788,"{'random_state': 42, 'l1_ratio': 0.1814097048524262, 'alpha': 0.000916303151575788}",-0.11374361784915697,-0.09246049403444699,-0.10373371322277707,-0.1185305290426179,-0.14013636020475337,-0.09355202701272176,-0.11549964411090974,-0.09249454457772949,-0.090409265727458,-0.12163936168383957,-0.10821995574664109,0.015609914576356937,34
87,0.3636720418930054,0.10741566968951782,0.02024102210998535,0.013322004869605272,42,0.3098454227113556,0.0005760680340170085,"{'random_state': 42, 'l1_ratio': 0.3098454227113556, 'alpha': 0.0005760680340170085}",-0.1135917986985733,-0.0925699800899748,-0.10397146466398732,-0.11820407287084128,-0.14043891412436185,-0.09329406050067014,-0.11558755296424301,-0.09245882667124537,-0.09041794466825609,-0.12194130081171162,-0.10824759160638649,0.015685114866448847,35
98,0.3092207670211792,0.05863797043998158,0.014968252182006836,0.0017615443225308357,42,0.5097453726863431,0.000894512256128064,"{'random_state': 42, 'l1_ratio': 0.5097453726863431, 'alpha': 0.000894512256128064}",-0.11149925011097296,-0.09223020293426966,-0.10578864923679644,-0.11759815326998903,-0.13902487386799198,-0.0935324794784491,-0.11452377326224895,-0.09275458647429628,-0.09378529522898027,-0.12200087525148813,-0.10827381391154829,0.014839517067250693,36
39,0.3606666088104248,0.04467770363424504,0.01440417766571045,0.0021341138444211974,42,0.6091955977988994,0.0007751575787893947,"{'random_state': 42, 'l1_ratio': 0.6091955977988994, 'alpha': 0.0007751575787893947}",-0.11133750257226219,-0.09225896868122355,-0.10586624662844621,-0.11750681332261145,-0.13901342201117325,-0.09352173284805486,-0.11446917030582505,-0.09284638452881082,-0.09388984739253417,-0.12210859068973688,-0.10828186789806785,0.014812631187596964,37
79,0.4025554656982422,0.09529120897902887,0.016966581344604492,0.005706649649487817,42,0.2068969484742371,0.0007588144072036018,"{'random_state': 42, 'l1_ratio': 0.2068969484742371, 'alpha': 0.0007588144072036018}",-0.11395868045916006,-0.09251688772563037,-0.10365936291501876,-0.11864709999072329,-0.14033697346996352,-0.09361879655155811,-0.11579021899845308,-0.09267737497352241,-0.09017570397243255,-0.12178035173575115,-0.10831614507922134,0.01569078668623024,38
25,0.401179838180542,0.08693021991858679,0.015610170364379884,0.004380752760271103,42,0.3553226613306653,0.0004829614807403702,"{'random_state': 42, 'l1_ratio': 0.3553226613306653, 'alpha': 0.0004829614807403702}",-0.11377865308358626,-0.09265128950055351,-0.10392001548596118,-0.11832688365527032,-0.1405247576447425,-0.09328708671430674,-0.1158190074322183,-0.09259786806798263,-0.09024919676297334,-0.12209997732889502,-0.10832547356764899,0.01574102859854169,39
63,0.36267976760864257,0.09465740562500638,0.01598513126373291,0.005151525221302915,42,0.7611195597798899,0.000241775887943972,"{'random_state': 42, 'l1_ratio': 0.7611195597798899, 'alpha': 0.000241775887943972}",-0.11369669481884762,-0.09266659581607903,-0.10411832111249208,-0.11805957073435613,-0.1406753379713791,-0.09305174540652364,-0.11587492759754124,-0.09262195590667997,-0.09031886633467381,-0.12243068495688675,-0.10835147006554594,0.015789511093621478,40
57,0.4388047456741333,0.06749483825118403,0.019831418991088867,0.006456690228378213,42,0.4992506253126563,0.000352216108054027,"{'random_state': 42, 'l1_ratio': 0.4992506253126563, 'alpha': 0.000352216108054027}",-0.1137609348972663,-0.09268573991403642,-0.10399130111188669,-0.11823517592113406,-0.1406079819779783,-0.09318131239016714,-0.11592188178495771,-0.09263708358139736,-0.09026528533920646,-0.12228165832306405,-0.10835683552410943,0.0157715103318637,41
6,0.21204254627227784,0.03202956790957941,0.019016003608703612,0.005296551778077064,42,0.9780110055027513,0.0005280290145072536,"{'random_state': 42, 'l1_ratio': 0.9780110055027513, 'alpha': 0.0005280290145072536}",-0.11095512791005027,-0.0924679659212152,-0.10601774418299788,-0.11732590806335746,-0.13901905488263253,-0.09356196408192406,-0.11438906458688666,-0.09324956623937801,-0.09431597422653272,-0.1222995320406662,-0.10836019021356409,0.014698110968339888,42
73,0.29925074577331545,0.0417181560607048,0.01943333148956299,0.006711268862878885,42,0.5282361180590295,0.0008984742371185593,"{'random_state': 42, 'l1_ratio': 0.5282361180590295, 'alpha': 0.0008984742371185593}",-0.11146608235176556,-0.09231323194306681,-0.1059326730692519,-0.11769733536200451,-0.13898003120399524,-0.09364515726459985,-0.1145623477406224,-0.09294572426364908,-0.09405125961098304,-0.12207392578472094,-0.10836677685946594,0.014775714990023914,43
12,0.3720784425735474,0.046608494479667584,0.01647055149078369,0.0032293825674941565,42,0.33233416708354174,0.0004829614807403702,"{'random_state': 42, 'l1_ratio': 0.33233416708354174, 'alpha': 0.0004829614807403702}",-0.11401276514755537,-0.09264464502387908,-0.10379609780983215,-0.11854564146972786,-0.14055176076777923,-0.09343730137446343,-0.11606824464256377,-0.09278106704557156,-0.09007135593404188,-0.12212517166895792,-0.10840340508843722,0.015775153967828776,44
33,0.4189519643783569,0.05508813926337953,0.01640174388885498,0.0029211672156908425,42,0.6246878439219609,0.0002769384692346173,"{'random_state': 42, 'l1_ratio': 0.6246878439219609, 'alpha': 0.0002769384692346173}",-0.11388878120036386,-0.09274542428192711,-0.1039499860019606,-0.11828894183265763,-0.14067438102750832,-0.0931647469328727,-0.11614550848399556,-0.09277040434160726,-0.09019094758875024,-0.12243682792654088,-0.10842559496181843,0.015809514859456406,45
62,0.4115012168884277,0.12546564277332015,0.016498589515686037,0.008521710516478495,42,0.19340370185092545,0.0007325662831415708,"{'random_state': 42, 'l1_ratio': 0.19340370185092545, 'alpha': 0.0007325662831415708}",-0.11425932441247594,-0.09266894355012434,-0.10353585419566906,-0.11893935727657688,-0.14038679923667155,-0.09378577415700709,-0.116068947556172,-0.09293016460817524,-0.08998503373968418,-0.12188707305619029,-0.10844472717887466,0.015723827106216292,46
4,0.4821263074874878,0.11580040760634881,0.0218982458114624,0.012731559696914087,42,0.7181410705352675,0.00023979489744872437,"{'random_state': 42, 'l1_ratio': 0.7181410705352675, 'alpha': 0.00023979489744872437}",-0.11394854317408541,-0.09277030909793879,-0.1039375453409048,-0.11830600113636042,-0.1407059845367718,-0.0931519066365747,-0.11625855236941533,-0.09283508177458746,-0.09016040769162302,-0.12251628285698413,-0.10845906146152458,0.015827942786967072,47
