,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
28,0.1080653190612793,0.036387687870683035,0.163054895401001,0.04986700827825993,uniform,10,28,kd_tree,"{'weights': 'uniform', 'n_neighbors': 10, 'leaf_size': 28, 'algorithm': 'kd_tree'}",-0.16909958801609876,-0.16529915044218307,-0.165843049255794,-0.17240131828713104,-0.18293473950234712,-0.16040721630943755,-0.18455477256740052,-0.14901081366679816,-0.15388504625692132,-0.17601987380685905,-0.16794555681109705,0.011006338520533263,37
91,0.12846217155456544,0.04389096299991023,0.18703074455261232,0.0330155360685718,uniform,10,18,kd_tree,"{'weights': 'uniform', 'n_neighbors': 10, 'leaf_size': 18, 'algorithm': 'kd_tree'}",-0.16909958801609876,-0.16529915044218307,-0.165843049255794,-0.17240131828713104,-0.18293473950234712,-0.16040721630943755,-0.18455477256740052,-0.14901081366679816,-0.15388504625692132,-0.17601987380685905,-0.16794555681109705,0.011006338520533263,37
26,0.09521057605743408,0.031832262069991894,0.2222742795944214,0.05131300521754351,uniform,12,19,kd_tree,"{'weights': 'uniform', 'n_neighbors': 12, 'leaf_size': 19, 'algorithm': 'kd_tree'}",-0.16511901361505832,-0.1665304080549915,-0.1665787672084977,-0.17404836064813103,-0.18317618924798637,-0.1604308837893059,-0.1842477207583476,-0.14810906166311946,-0.1523039535621991,-0.1793163572521314,-0.16798607157997683,0.011707827832282526,39
21,0.06754193305969239,0.01841108015345692,0.12882256507873535,0.031154098395558088,distance,25,43,ball_tree,"{'weights': 'distance', 'n_neighbors': 25, 'leaf_size': 43, 'algorithm': 'ball_tree'}",-0.15614321514308235,-0.15999522649442602,-0.16723513189154418,-0.18238412780830449,-0.18969263353740137,-0.15790699801960723,-0.1881330560810668,-0.15186584896666713,-0.15320727739464832,-0.1740979972318951,-0.16806615125686428,0.013806535300258927,40
86,0.06273128986358642,0.019331345443367842,0.15186705589294433,0.059879977917496725,uniform,14,25,ball_tree,"{'weights': 'uniform', 'n_neighbors': 14, 'leaf_size': 25, 'algorithm': 'ball_tree'}",-0.16539414678161746,-0.16273765096176657,-0.16503131197062812,-0.17603168548039208,-0.18448695507226437,-0.16211640770339725,-0.18717359573521888,-0.14848574359259986,-0.15232223534094802,-0.17911425321524277,-0.16828939858540753,0.012373983210394665,41
66,0.10237045288085937,0.04049360662525292,0.17736566066741943,0.0510322776506281,distance,26,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 30, 'algorithm': 'kd_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
9,0.08547432422637939,0.03214348199034164,0.17416832447052003,0.061126895385160945,distance,26,45,kd_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 45, 'algorithm': 'kd_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
14,0.12480859756469727,0.0704391622155709,0.21201577186584472,0.022225650198231885,distance,26,25,kd_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 25, 'algorithm': 'kd_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
33,0.11548185348510742,0.04432624012349169,0.1716625452041626,0.03797122410903231,distance,26,18,kd_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 18, 'algorithm': 'kd_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
82,0.05264871120452881,0.010715900708376545,0.12438483238220215,0.028892693881684355,distance,26,41,ball_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 41, 'algorithm': 'ball_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
23,0.0866403341293335,0.0389625621111889,0.18521034717559814,0.030973520099886354,distance,26,36,kd_tree,"{'weights': 'distance', 'n_neighbors': 26, 'leaf_size': 36, 'algorithm': 'kd_tree'}",-0.155556986132967,-0.1600413402690407,-0.16799716946779933,-0.18294068442758626,-0.19049361873183437,-0.15812282417077997,-0.1880318592604462,-0.15288995491379095,-0.15290821366101381,-0.17409738746291695,-0.16830800384981756,0.013922983649335276,42
75,0.07325632572174072,0.024149367055795685,0.15022928714752198,0.06049204820230514,distance,24,25,ball_tree,"{'weights': 'distance', 'n_neighbors': 24, 'leaf_size': 25, 'algorithm': 'ball_tree'}",-0.15804406096648332,-0.1605294233969235,-0.16593942113243462,-0.1821296305501342,-0.18987271369846898,-0.15757000850275946,-0.18906018801573965,-0.15128765996619598,-0.1534700619596047,-0.17543085697577532,-0.16833340251645196,0.013907127668494897,48
78,0.07311837673187256,0.021882620857416806,0.13199386596679688,0.044403389207068975,distance,24,41,kd_tree,"{'weights': 'distance', 'n_neighbors': 24, 'leaf_size': 41, 'algorithm': 'kd_tree'}",-0.15804406096648332,-0.1605294233969235,-0.16593942113243462,-0.1821296305501342,-0.18987271369846898,-0.15757000850275946,-0.18906018801573965,-0.15128765996619598,-0.1534700619596047,-0.17543085697577532,-0.16833340251645196,0.013907127668494897,48
98,0.05467746257781982,0.014045826656234928,0.14401640892028808,0.058297037996982784,uniform,13,38,ball_tree,"{'weights': 'uniform', 'n_neighbors': 13, 'leaf_size': 38, 'algorithm': 'ball_tree'}",-0.16481257100016017,-0.16363880784561174,-0.1663333972435128,-0.17486096352706995,-0.18434195311757562,-0.15999930096450327,-0.18654605435203525,-0.15103371732060647,-0.15196118765889352,-0.1807082526351138,-0.16842362056650825,0.012078328630862068,50
40,0.08461418151855468,0.034331710566106455,0.1226689100265503,0.03862874121120783,uniform,15,40,ball_tree,"{'weights': 'uniform', 'n_neighbors': 15, 'leaf_size': 40, 'algorithm': 'ball_tree'}",-0.1640062956506663,-0.16357511767337868,-0.16648945376229451,-0.17688621176512284,-0.1855250124654596,-0.16001046189297743,-0.18907889982765735,-0.1478042886415645,-0.1528314298091505,-0.1795693769929604,-0.1685776548481232,0.013040400600461967,51
79,0.08921852111816406,0.02977131799808603,0.1670313596725464,0.05094481908431554,uniform,16,31,kd_tree,"{'weights': 'uniform', 'n_neighbors': 16, 'leaf_size': 31, 'algorithm': 'kd_tree'}",-0.16454907961179002,-0.1630999978645701,-0.1659389041324676,-0.17670865371447733,-0.18820507467986236,-0.15856845812008208,-0.1886131299108568,-0.1485253424365233,-0.15519444267251933,-0.1780680601926968,-0.16874711433358458,0.012950430152591477,52
4,0.0820831298828125,0.02472562966684609,0.19317703247070311,0.03934074874005113,uniform,16,29,kd_tree,"{'weights': 'uniform', 'n_neighbors': 16, 'leaf_size': 29, 'algorithm': 'kd_tree'}",-0.16454907961179002,-0.1630999978645701,-0.1659389041324676,-0.17670865371447733,-0.18820507467986236,-0.15856845812008208,-0.1886131299108568,-0.1485253424365233,-0.15519444267251933,-0.1780680601926968,-0.16874711433358458,0.012950430152591477,52
