,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
59,0.041273307800292966,0.002113995274196481,0.007781600952148438,0.0008379572558953366,42,10.567783891945973,"{'random_state': 42, 'alpha': 10.567783891945973}",-0.11728615468529081,-0.10499366319502829,-0.11329063262609157,-0.15538268553779389,-0.14004144388504303,-0.1071577826994139,-0.12361230927558321,-0.10278014038220872,-0.18156046424904712,-0.12694217050901657,-0.1273047447044517,0.02389550385916755,37
21,0.04171099662780762,0.002199896826582064,0.008514666557312011,0.0008638176534059622,42,9.8064032016008,"{'random_state': 42, 'alpha': 9.8064032016008}",-0.11729927676921302,-0.10474958593469845,-0.11341121768274934,-0.15516528783948974,-0.14012587977523253,-0.10736796022278028,-0.12371601215344658,-0.10266549205787327,-0.18153318980663277,-0.12701375399252332,-0.12730476562346393,0.023876185035890174,38
60,0.042179322242736815,0.002032323392900186,0.008152532577514648,0.0006691039067040108,42,10.575787893946973,"{'random_state': 42, 'alpha': 10.575787893946973}",-0.1172860451994558,-0.104996166956295,-0.11328945540681916,-0.15538497346827362,-0.1400406514860247,-0.10715573411767207,-0.12361132911363995,-0.10278140628710103,-0.1815608861935136,-0.12694154585533762,-0.12730481940841326,0.023895725057224336,39
9,0.045732975006103516,0.006801959486103296,0.008629727363586425,0.000979319932201284,42,9.783391695847923,"{'random_state': 42, 'alpha': 9.783391695847923}",-0.11729976056196928,-0.10474201928006699,-0.11341513820754802,-0.15515873192095314,-0.14012872742630486,-0.1073748125454598,-0.12371948706322947,-0.1026622168985746,-0.18153279553857207,-0.12701631689136783,-0.1273050006334046,0.023875660668784517,40
94,0.04122402667999268,0.003997381207569688,0.009011268615722656,0.0017462098712702722,42,9.781390695347675,"{'random_state': 42, 'alpha': 9.781390695347675}",-0.11729980288381929,-0.10474136076143281,-0.1134154799197489,-0.15515816190276266,-0.14012897591659956,-0.10737540986952837,-0.12371979022690661,-0.1026619326636298,-0.1815327625464593,-0.12701654093148593,-0.12730502176223732,0.02387561525579555,41
90,0.04063112735748291,0.003817818477954824,0.008221054077148437,0.0010245383157353042,42,9.779389694847424,"{'random_state': 42, 'alpha': 9.779389694847424}",-0.117299845246201,-0.10474070215488392,-0.11341582175965166,-0.155157591894568,-0.1401292245461319,-0.10737600742927281,-0.12372009355050947,-0.10266164851872936,-0.18153272976166465,-0.12701676516071841,-0.1273050430022331,0.02387556987238433,42
33,0.04053375720977783,0.0024047191606212694,0.008258891105651856,0.0005193755008550493,42,9.777388694347174,"{'random_state': 42, 'alpha': 9.777388694347174}",-0.11729988764912946,-0.10474004346039226,-0.11341616372729636,-0.15515702189639735,-0.14012947331496464,-0.10737660522480293,-0.12372039703410678,-0.10266136446391784,-0.1815326971843188,-0.12701698957915913,-0.12730506435344854,0.02387552451857604,43
96,0.04388742446899414,0.006015163875176194,0.00963432788848877,0.0018394457849224388,42,10.601800900450225,"{'random_state': 42, 'alpha': 10.601800900450225}",-0.11728569328609209,-0.10500429562571748,-0.11328564192196747,-0.15539240928472703,-0.14003808910703522,-0.10714909803848463,-0.1236081585505317,-0.1027855286304364,-0.1815622754014342,-0.12693953296456031,-0.12730507228109866,0.02389644626087416,44
70,0.04220113754272461,0.003795624681153981,0.00809018611907959,0.000873059747100379,42,10.620810405202601,"{'random_state': 42, 'alpha': 10.620810405202601}",-0.11728543989528355,-0.10501022755592815,-0.11328286718119701,-0.15539784317247096,-0.140036229046918,-0.10714426961279593,-0.12360585602148175,-0.10278854896249177,-0.18156330780092805,-0.12693807860505177,-0.12730526678545467,0.02389697551110541,45
74,0.041852355003356934,0.005114648624079188,0.008083605766296386,0.00042624277867521807,42,10.622811405702851,"{'random_state': 42, 'alpha': 10.622811405702851}",-0.11728541340763096,-0.10501085156529726,-0.11328257569311169,-0.15539841516090022,-0.14003603386056288,-0.10714376238643122,-0.12360561435616742,-0.10278886727631259,-0.1815634173159084,-0.1269379263269718,-0.12730528773492944,0.023897031329797567,46
86,0.041387629508972165,0.0026368356776514112,0.008059167861938476,0.0007408234166477675,42,10.637818909454728,"{'random_state': 42, 'alpha': 10.637818909454728}",-0.117285215871734,-0.10501552918524057,-0.11328039310754111,-0.15540270507178433,-0.14003457365378222,-0.10713996442012874,-0.12360380614340125,-0.10279125695523172,-0.18156424376790997,-0.12693678915986661,-0.12730544773366206,0.023897450623079543,47
53,0.04102416038513183,0.0021397955710881606,0.008101677894592286,0.0007733453203599184,42,9.738369184592296,"{'random_state': 42, 'alpha': 9.738369184592296}",-0.1173007226314053,-0.10472718129943157,-0.11342285768689021,-0.15514590897614888,-0.1401343522405561,-0.10738830952160253,-0.12372634704186453,-0.10265584346619586,-0.1815321035780774,-0.127021403690776,-0.12730550301329485,0.02387464607259,48
