,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
35,0.5185590267181397,0.07477750453165885,0.013257169723510742,0.00839338963016691,4.4334167083541765e-06,9.598849424712356e-06,9.57408704352176e-06,9.395797898949474e-06,"{'lambda_2': 4.4334167083541765e-06, 'lambda_1': 9.598849424712356e-06, 'alpha_2': 9.57408704352176e-06, 'alpha_1': 9.395797898949474e-06}",-0.1174677766210583,-0.10358079612685529,-0.11437879035000288,-0.15412318369425757,-0.1412577088395585,-0.10944281680690349,-0.12473155858669255,-0.10235214946564138,-0.181797656717752,-0.12828655694962765,-0.12774189941583497,0.02378532738451987,40
62,0.49304053783416746,0.047250948776853104,0.01174304485321045,0.002893136811906333,4.671135567783892e-06,9.593896948474237e-06,7.370235117558779e-06,6.562981490745372e-06,"{'lambda_2': 4.671135567783892e-06, 'lambda_1': 9.593896948474237e-06, 'alpha_2': 7.370235117558779e-06, 'alpha_1': 6.562981490745372e-06}",-0.11746777829901485,-0.10358078630710155,-0.11437879713216291,-0.1541231789514868,-0.14125771653645497,-0.10944283159551142,-0.1247315668849336,-0.10235214931434691,-0.18179766273336614,-0.12828656643090025,-0.12774190341852795,0.023785328002047256,41
39,0.5069329500198364,0.07464277947168839,0.012181854248046875,0.004654940973070974,4.740470235117558e-06,9.138269134567285e-06,5.7062031015507745e-06,7.578239119559779e-06,"{'lambda_2': 4.740470235117558e-06, 'lambda_1': 9.138269134567285e-06, 'alpha_2': 5.7062031015507745e-06, 'alpha_1': 7.578239119559779e-06}",-0.11746777895207439,-0.10358078255791936,-0.11437879979131982,-0.1541231770902185,-0.14125771964913666,-0.10944283749773664,-0.12473157014439816,-0.10235214925543493,-0.18179766500759312,-0.1282865702626321,-0.12774190502084637,0.02378532821229682,42
73,0.532785701751709,0.09475994996002655,0.010320091247558593,0.0018855569497878565,4.710755377688844e-06,3.6806403201600796e-06,3.908454227113557e-06,6.6224112056028005e-06,"{'lambda_2': 4.710755377688844e-06, 'lambda_1': 3.6806403201600796e-06, 'alpha_2': 3.908454227113557e-06, 'alpha_1': 6.6224112056028005e-06}",-0.11746777911602879,-0.1035807817522697,-0.11437880049892063,-0.15412317660174624,-0.1412577206470086,-0.10944283926599202,-0.12473157101862979,-0.10235214924052399,-0.1817976654379097,-0.12828657149184816,-0.12774190550708778,0.023785328204921408,43
92,0.5280037879943847,0.1036994036462666,0.012926816940307617,0.007865836028022129,4.859329664832416e-06,2.7495747873936967e-06,8.761880940470234e-06,9.603801900950476e-06,"{'lambda_2': 4.859329664832416e-06, 'lambda_1': 2.7495747873936967e-06, 'alpha_2': 8.761880940470234e-06, 'alpha_1': 9.603801900950476e-06}",-0.11746777923693699,-0.10358078061710975,-0.11437880087733496,-0.15412317636384917,-0.14125772050757585,-0.10944283949124026,-0.12473157144120615,-0.10235214922973256,-0.18179766623981342,-0.12828657134519952,-0.12774190553499987,0.02378532841982218,44
53,0.5231297254562378,0.08186532953919583,0.010869574546813966,0.003257894758953214,4.794947473736868e-06,4.487893946973486e-06,2.4672836418209104e-06,1.2489744872436216e-06,"{'lambda_2': 4.794947473736868e-06, 'lambda_1': 4.487893946973486e-06, 'alpha_2': 2.4672836418209104e-06, 'alpha_1': 1.2489744872436216e-06}",-0.11746777979364101,-0.1035807778286855,-0.11437880324753597,-0.15412317467339176,-0.14125772382444318,-0.10944284531562845,-0.12473157438691505,-0.1023521491794493,-0.18179766783690163,-0.12828657540122296,-0.12774190714878148,0.023785328439084475,45
65,0.5112610101699829,0.03740124700967982,0.009619021415710449,0.0013005833291056344,5.0178089044522255e-06,9.940570285142572e-06,7.924912456228114e-06,3.1903451725862926e-06,"{'lambda_2': 5.0178089044522255e-06, 'lambda_1': 9.940570285142572e-06, 'alpha_2': 7.924912456228114e-06, 'alpha_1': 3.1903451725862926e-06}",-0.1174677801707463,-0.10358077509188307,-0.11437880462901419,-0.1541231737218855,-0.14125772469865744,-0.10944284757335052,-0.12473157603418003,-0.10235214914569873,-0.18179766967449942,-0.12828657649867642,-0.12774190772385915,0.023785328796519786,46
41,0.5116424560546875,0.05663201081282778,0.011203193664550781,0.00365045183877186,5.15647823911956e-06,7.276138069034517e-06,9.801900950475238e-06,9.617308654327162e-07,"{'lambda_2': 5.15647823911956e-06, 'lambda_1': 7.276138069034517e-06, 'alpha_2': 9.801900950475238e-06, 'alpha_1': 9.617308654327162e-07}",-0.11746778069763635,-0.1035807717942124,-0.11437880670505624,-0.1541231722882293,-0.14125772676682374,-0.10944285180208453,-0.12473157855216348,-0.10235214909823319,-0.18179767174078632,-0.12828657906143315,-0.12774190885066586,0.0237853290739385,47
94,0.5261904478073121,0.08625006123123836,0.009931492805480956,0.001985025840723171,4.933616808404201e-06,3.1903451725862926e-06,1.2242121060530265e-06,5.5774387193596795e-06,"{'lambda_2': 4.933616808404201e-06, 'lambda_1': 3.1903451725862926e-06, 'alpha_2': 1.2242121060530265e-06, 'alpha_1': 5.5774387193596795e-06}",-0.11746778079143883,-0.103580771992146,-0.11437880728299646,-0.154123171857399,-0.14125772840392067,-0.109442854123175,-0.12473157932256806,-0.10235214908947188,-0.18179767140202635,-0.12828658104593363,-0.1277419095311076,0.023785328802721835,48
80,0.5110403776168824,0.06124202150807644,0.01214442253112793,0.005239751302550647,5.111905952976488e-06,5.874587293646823e-06,4.448274137068534e-06,7.3603301650825405e-06,"{'lambda_2': 5.111905952976488e-06, 'lambda_1': 5.874587293646823e-06, 'alpha_2': 4.448274137068534e-06, 'alpha_1': 7.3603301650825405e-06}",-0.11746778128585367,-0.10358076875738507,-0.11437880919029092,-0.1541231705356835,-0.1412577301200524,-0.10944285779768832,-0.12473158162751091,-0.10235214904504829,-0.1817976734832247,-0.12828658317471006,-0.1277419105017448,0.02378532912445067,49
23,0.47521085739135743,0.044580150586912254,0.011760210990905762,0.004257845499453211,5.191145572786393e-06,3.116058029014507e-06,6.454027013506753e-06,9.093696848424212e-06,"{'lambda_2': 5.191145572786393e-06, 'lambda_1': 3.116058029014507e-06, 'alpha_2': 6.454027013506753e-06, 'alpha_1': 9.093696848424212e-06}",-0.11746778146445593,-0.10358076752911184,-0.11437880986711854,-0.1541231700805455,-0.1412577306404155,-0.1094428590206802,-0.12473158243577827,-0.10235214902895579,-0.18179767427079693,-0.12828658383028244,-0.1277419108168141,0.023785329260453576,50
19,0.5263210296630859,0.129312756733827,0.013202619552612305,0.005485871509670619,5.201050525262631e-06,3.878739369684842e-06,2.695097548774387e-06,8.415207603801901e-06,"{'lambda_2': 5.201050525262631e-06, 'lambda_1': 3.878739369684842e-06, 'alpha_2': 2.695097548774387e-06, 'alpha_1': 8.415207603801901e-06}",-0.11746778208210788,-0.10358076416690995,-0.11437881242872425,-0.15412316827385378,-0.14125773388303864,-0.10944286496090211,-0.12473158559380704,-0.10235214897322177,-0.18179767626704246,-0.12828658781014213,-0.12774191244397498,0.023785329387027362,51
69,0.5097515344619751,0.10128001701983871,0.008585047721862794,0.0014766101339424853,5.1960980490245116e-06,6.003351675837918e-06,1.7887943971985992e-06,5.41400700350175e-06,"{'lambda_2': 5.1960980490245116e-06, 'lambda_1': 6.003351675837918e-06, 'alpha_2': 1.7887943971985992e-06, 'alpha_1': 5.41400700350175e-06}",-0.11746778216249383,-0.10358076375669721,-0.11437881276713027,-0.15412316802698128,-0.14125773435121888,-0.10944286577917137,-0.1247315860159532,-0.10235214896600274,-0.1817976765135198,-0.12828658837956208,-0.12774191267187307,0.0237853293952291,52
78,0.5272238731384278,0.09966012772904058,0.011172270774841309,0.002956751638786365,5.503151575787893e-06,2.4177588794397198e-06,8.771785892946473e-06,7.870435217608804e-06,"{'lambda_2': 5.503151575787893e-06, 'lambda_1': 2.4177588794397198e-06, 'alpha_2': 8.771785892946473e-06, 'alpha_1': 7.870435217608804e-06}",-0.11746778288725933,-0.1035807588442155,-0.11437881552523337,-0.15412316614544055,-0.14125773658530752,-0.10944287085470533,-0.12473158932513786,-0.10235214890082539,-0.18179767968207203,-0.12828659117388458,-0.12774191399240814,0.023785329927331973,53
36,0.5279899597167969,0.06254364148786579,0.009209227561950684,0.0008220607612517775,5.567533766883441e-06,4.41855927963982e-06,8.10815407703852e-06,3.4132066033016506e-06,"{'lambda_2': 5.567533766883441e-06, 'lambda_1': 4.41855927963982e-06, 'alpha_2': 8.10815407703852e-06, 'alpha_1': 3.4132066033016506e-06}",-0.11746778332270057,-0.10358075629475542,-0.11437881728270895,-0.15412316490948216,-0.14125773858258123,-0.10944287468057487,-0.12473159147796001,-0.10235214886163094,-0.18179768125538706,-0.12828659363012265,-0.12774191502979038,0.023785330090948718,54
